algorithm,run_id,seed,generation,evaluations,population_size,feasible_count,feasible_fraction,mean_total_constraint_violation,max_total_constraint_violation,non_dominated_count,hv_against_zero_reference,max_social_reliability,max_economic_efficiency,max_ecological_security,data_status
IA-NSGA-III,4,1809039,17,816,48,48,1.0,0.0,0.0,10,0.37796727984924205,0.6718787418104609,0.7463515362833849,0.7564727388740944,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,4,1809039,18,864,48,48,1.0,0.0,0.0,5,0.386273007079804,0.6786337326511117,0.7540421331066299,0.7564727388740944,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,4,1809039,19,912,48,48,1.0,0.0,0.0,8,0.38799192455928644,0.6812024962144684,0.7540421331066299,0.7564727388740944,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,4,1809039,20,960,48,48,1.0,0.0,0.0,14,0.3903360013392355,0.6854710233673156,0.7540421331066299,0.7564727388740944,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,4,1809039,21,1008,48,48,1.0,0.0,0.0,8,0.3974438190429959,0.6854710233673156,0.7633011912220378,0.7605711820027301,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,4,1809039,22,1056,48,48,1.0,0.0,0.0,11,0.4133934156801448,0.6963093385501161,0.7737291895840784,0.7693424382946632,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,4,1809039,23,1104,48,48,1.0,0.0,0.0,9,0.42084373985213785,0.7082954354076816,0.7737291895840784,0.7693424382946632,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,4,1809039,24,1152,48,48,1.0,0.0,0.0,11,0.4285950961038154,0.7111639548881666,0.7849175822903063,0.7693424382946632,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,4,1809039,25,1200,48,48,1.0,0.0,0.0,11,0.43501786225117,0.7207226599915035,0.7859278249059503,0.7693424382946632,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,4,1809039,26,1248,48,48,1.0,0.0,0.0,11,0.4398031017928382,0.725212767066733,0.7859278249059503,0.7731138264670373,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,4,1809039,27,1296,48,48,1.0,0.0,0.0,10,0.44777161489109163,0.7334862496361018,0.7914040689681049,0.7731138264670373,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,4,1809039,28,1344,48,48,1.0,0.0,0.0,16,0.4489856390505724,0.7334862496361018,0.7914040689681049,0.7751274617109161,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,4,1809039,29,1392,48,48,1.0,0.0,0.0,13,0.45468287775647576,0.7410643084548787,0.7932612367384589,0.7751274617109161,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,4,1809039,30,1440,48,48,1.0,0.0,0.0,18,0.4568367883924791,0.7412191086422643,0.796690276970187,0.7751274617109161,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,5,1809040,1,48,48,45,0.9375,1.3877787807814457e-17,2.220446049250313e-16,8,0.2245248653214479,0.5529800168443622,0.571324442114091,0.7157640640295844,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,5,1809040,2,96,48,48,1.0,0.0,0.0,9,0.23358317904822118,0.5661890933218371,0.5802894648854902,0.7157640640295844,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,5,1809040,3,144,48,48,1.0,0.0,0.0,5,0.24266112232950104,0.5727895117784937,0.5952798876955386,0.7157640640295844,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,5,1809040,4,192,48,48,1.0,0.0,0.0,10,0.2553309564334625,0.5870575627529017,0.6057843710992988,0.7250772215660714,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,5,1809040,5,240,48,48,1.0,0.0,0.0,5,0.27014166589963434,0.5872206057210103,0.6392124218828372,0.7250772215660714,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,5,1809040,6,288,48,48,1.0,0.0,0.0,8,0.28995194075501535,0.6085830957955124,0.657275740629689,0.732601465624992,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,5,1809040,7,336,48,48,1.0,0.0,0.0,9,0.29177414833781384,0.6086034942816284,0.657275740629689,0.7345085947627734,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,5,1809040,8,384,48,48,1.0,0.0,0.0,12,0.29768032387755405,0.6196248240395296,0.657275740629689,0.7369314711003152,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,5,1809040,9,432,48,48,1.0,0.0,0.0,11,0.3065337171626104,0.6255829631269311,0.6648148363779213,0.741647612664229,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,5,1809040,10,480,48,48,1.0,0.0,0.0,12,0.3157382174052477,0.6274721703270711,0.6789310849666025,0.7462642853161238,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,5,1809040,11,528,48,48,1.0,0.0,0.0,13,0.32358120899261744,0.6375001427086892,0.6789310849666025,0.751429732184728,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,5,1809040,12,576,48,48,1.0,0.0,0.0,7,0.3418623326551689,0.6495661562470619,0.7035016533079791,0.751429732184728,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,5,1809040,13,624,48,48,1.0,0.0,0.0,10,0.34977911830201475,0.6655316395684999,0.7035016533079791,0.751429732184728,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,5,1809040,14,672,48,48,1.0,0.0,0.0,12,0.35188262097789536,0.6676112088291222,0.7043924766564041,0.751429732184728,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,5,1809040,15,720,48,48,1.0,0.0,0.0,15,0.35598457844151743,0.6676112088291222,0.7090356271075761,0.7546764365031144,经过处理的数据 / public-data surrogate; not author-run logs
