algorithm,run_id,seed,stored_hv,recomputed_hv,hv_abs_difference,stored_igd,recomputed_igd,igd_abs_difference,metric_population,data_status
IA-NSGA-III,1,1809036,0.551835749310715,0.551835749310715,0.0,0.0180590974575658,0.018059097457565895,9.367506770274758e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-II,13,2109048,0.3685258643291946,0.36852586432919465,5.551115123125783e-17,0.174195730069286,0.17419573006928604,5.551115123125783e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-II,14,2109049,0.353955952518771,0.35395595251877104,5.551115123125783e-17,0.1882810520304464,0.18828105203044646,5.551115123125783e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-II,15,2109050,0.3748623849854079,0.37486238498540797,5.551115123125783e-17,0.1568349150725909,0.15683491507259098,8.326672684688674e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-II,16,2109051,0.3765392232210903,0.3765392232210903,0.0,0.1623578842892341,0.1623578842892341,0.0,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-II,17,2109052,0.3867625578217112,0.3867625578217112,0.0,0.14892689946437,0.14892689946437002,2.7755575615628914e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-II,18,2109053,0.3595223272682677,0.3595223272682677,0.0,0.1806656773931536,0.18066567739315367,8.326672684688674e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-II,19,2109054,0.3696703115829731,0.3696703115829731,0.0,0.1722083634871184,0.17220836348711846,5.551115123125783e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-II,20,2109055,0.3922173416809649,0.39221734168096495,5.551115123125783e-17,0.1516086838331019,0.15160868383310191,2.7755575615628914e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-II,21,2109056,0.3540520512628042,0.35405205126280426,5.551115123125783e-17,0.1867592998888351,0.18675929988883516,5.551115123125783e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-II,22,2109057,0.379230960891152,0.379230960891152,0.0,0.1569961224801727,0.15699612248017275,5.551115123125783e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-II,23,2109058,0.3884075623116368,0.38840756231163687,5.551115123125783e-17,0.1473286679572612,0.1473286679572612,0.0,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-II,24,2109059,0.3938558991450631,0.39385589914506314,5.551115123125783e-17,0.1500332579495286,0.15003325794952868,8.326672684688674e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-II,25,2109060,0.4113939018454997,0.41139390184549973,5.551115123125783e-17,0.1277365535973295,0.1277365535973295,0.0,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-II,26,2109061,0.3694211995371339,0.3694211995371339,0.0,0.1632587528719733,0.16325875287197336,5.551115123125783e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-II,27,2109062,0.3593259142100368,0.35932591421003685,5.551115123125783e-17,0.179345209269852,0.179345209269852,0.0,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-II,28,2109063,0.3414050239586169,0.34140502395861694,5.551115123125783e-17,0.193549580007632,0.193549580007632,0.0,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-II,29,2109064,0.3917683404294418,0.3917683404294418,0.0,0.1426199607935251,0.14261996079352512,2.7755575615628914e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-II,30,2109065,0.3775228706382786,0.3775228706382786,0.0,0.1633917430743098,0.16339174307430987,8.326672684688674e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
